time,location,rain_sum (mm),apparent_temperature_mean (°C)
2013-01-04,Akuressa,20.9,28.9
2013-01-05,Akuressa,0.0,30.4
2013-01-06,Akuressa,6.8,31.5
2013-01-07,Akuressa,23.0,29.3
2013-01-08,Akuressa,1.2,30.2
2013-01-09,Akuressa,3.2,31.2
2013-01-10,Akuressa,18.2,31.7
2013-01-11,Akuressa,0.8,30.4
2013-01-12,Akuressa,3.9,30.8
2013-01-13,Akuressa,0.1,30.5
2013-01-14,Akuressa,0.1,30.1
2013-01-15,Akuressa,0.0,28.2
2013-01-16,Akuressa,0.0,28.8
2013-01-17,Akuressa,0.0,28.3
2013-01-18,Akuressa,0.4,29.3
2013-01-19,Akuressa,0.0,30.0
2013-01-20,Akuressa,0.5,31.4
2013-01-21,Akuressa,2.2,31.1
2013-01-22,Akuressa,0.1,31.0
2013-01-23,Akuressa,5.0,30.6
2013-01-24,Akuressa,5.0,31.0
2013-01-25,Akuressa,2.6,30.6
2013-01-26,Akuressa,1.9,31.4
2013-01-27,Akuressa,0.3,30.9
2013-01-28,Akuressa,0.3,30.6
2013-01-29,Akuressa,0.0,31.4
2013-01-30,Akuressa,0.1,29.8
2013-01-31,Akuressa,0.0,29.6
2013-02-01,Akuressa,0.0,30.9
2013-02-02,Akuressa,1.4,31.6
2013-02-03,Akuressa,1.7,31.8
2013-02-04,Akuressa,2.4,31.1
2013-02-05,Akuressa,0.1,31.2
2013-02-06,Akuressa,13.9,31.5
2013-02-07,Akuressa,8.6,31.2
2013-02-08,Akuressa,5.9,31.3
2013-02-09,Akuressa,2.4,31.8
2013-02-10,Akuressa,1.6,32.0
2013-02-11,Akuressa,9.9,29.6
2013-02-12,Akuressa,9.8,29.2
2013-02-13,Akuressa,12.1,29.3
2013-02-14,Akuressa,13.2,29.8
2013-02-15,Akuressa,3.8,30.9
2013-02-16,Akuressa,0.5,32.1
2013-02-17,Akuressa,3.6,32.5
2013-02-18,Akuressa,3.6,31.9
2013-02-19,Akuressa,11.1,31.2
2013-02-20,Akuressa,0.7,32.3
2013-02-21,Akuressa,2.9,32.3
2013-02-22,Akuressa,1.7,31.5
2013-02-23,Akuressa,0.3,30.9
2013-02-24,Akuressa,0.5,30.6
2013-02-25,Akuressa,0.6,31.8
2013-02-26,Akuressa,2.7,31.6
2013-02-27,Akuressa,0.7,32.0
2013-02-28,Akuressa,5.7,31.9
2013-03-01,Akuressa,0.9,32.4
2013-03-02,Akuressa,1.6,32.7
2013-03-03,Akuressa,20.2,32.3
2013-03-04,Akuressa,17.7,30.4
2013-03-05,Akuressa,1.1,30.7
2013-03-06,Akuressa,2.2,31.1
2013-03-07,Akuressa,2.3,32.0
2013-03-08,Akuressa,0.0,32.1
2013-03-09,Akuressa,4.0,31.9
2013-03-10,Akuressa,0.0,32.4
2013-03-11,Akuressa,0.7,33.1
2013-03-12,Akuressa,3.5,33.2
2013-03-13,Akuressa,1.5,32.9
2013-03-14,Akuressa,4.3,32.3
2013-03-15,Akuressa,4.5,31.2
2013-03-16,Akuressa,3.0,31.9
2013-03-17,Akuressa,5.0,32.5
2013-03-18,Akuressa,0.7,32.6
2013-03-19,Akuressa,0.9,32.6
2013-03-20,Akuressa,1.4,33.0
2013-03-21,Akuressa,1.8,32.6
2013-03-22,Akuressa,1.5,32.8
2013-03-23,Akuressa,4.4,32.6
2013-03-24,Akuressa,23.0,31.3
2013-03-25,Akuressa,34.1,32.1
2013-03-26,Akuressa,3.0,32.8
