Year_Week,year,week,location,code,vegetable_type,price,origin_rain_sum_mean_mm,origin_temperature_mean_c
2013-w1,2013,w1,Anuradhapura,330,ASH PLANTAINS,92.0,120.14,28.57
2013-w2,2013,w2,Anuradhapura,330,ASH PLANTAINS,92.0,0.0,26.07
2013-w3,2013,w3,Anuradhapura,330,ASH PLANTAINS,92.0,7.62,26.93
2013-w4,2013,w4,Anuradhapura,330,ASH PLANTAINS,92.0,2.02,26.71
2013-w5,2013,w5,Anuradhapura,330,ASH PLANTAINS,71.0,6.98,28.39
2013-w6,2013,w6,Anuradhapura,330,ASH PLANTAINS,71.0,60.1,28.64
2013-w7,2013,w7,Anuradhapura,330,ASH PLANTAINS,71.0,20.4,29.83
2013-w8,2013,w8,Anuradhapura,330,ASH PLANTAINS,71.0,0.0,27.87
2013-w9,2013,w9,Anuradhapura,330,ASH PLANTAINS,71.0,19.74,29.12
2013-w10,2013,w10,Anuradhapura,330,ASH PLANTAINS,88.0,16.86,31.31
2013-w11,2013,w11,Anuradhapura,330,ASH PLANTAINS,88.0,16.48,30.62
2013-w12,2013,w12,Anuradhapura,330,ASH PLANTAINS,88.0,16.68,31.94
2013-w13,2013,w13,Anuradhapura,330,ASH PLANTAINS,88.0,2.68,33.56
2013-w14,2013,w14,Anuradhapura,330,ASH PLANTAINS,88.0,5.62,33.79
2013-w15,2013,w15,Anuradhapura,330,ASH PLANTAINS,88.0,15.92,33.31
2013-w16,2013,w16,Anuradhapura,330,ASH PLANTAINS,88.0,18.64,33.86
2013-w17,2013,w17,Anuradhapura,330,ASH PLANTAINS,88.0,26.94,33.46
2013-w18,2013,w18,Anuradhapura,330,ASH PLANTAINS,88.0,22.46,32.28
2013-w19,2013,w19,Anuradhapura,330,ASH PLANTAINS,88.0,5.4,31.98
2013-w20,2013,w20,Anuradhapura,330,ASH PLANTAINS,88.0,6.86,31.8
2013-w21,2013,w21,Anuradhapura,330,ASH PLANTAINS,88.0,2.62,30.8
2013-w22,2013,w22,Anuradhapura,330,ASH PLANTAINS,72.0,13.56,29.81
2013-w23,2013,w23,Anuradhapura,330,ASH PLANTAINS,72.0,8.08,29.65
2013-w24,2013,w24,Anuradhapura,330,ASH PLANTAINS,72.0,9.46,29.6
2013-w25,2013,w25,Anuradhapura,330,ASH PLANTAINS,72.0,14.76,29.41
2013-w26,2013,w26,Anuradhapura,330,ASH PLANTAINS,72.0,2.98,29.54
2013-w27,2013,w27,Anuradhapura,330,ASH PLANTAINS,88.0,35.82,30.11
2013-w28,2013,w28,Anuradhapura,330,ASH PLANTAINS,88.0,4.02,29.73
2013-w29,2013,w29,Anuradhapura,330,ASH PLANTAINS,88.0,4.56,29.02
2013-w30,2013,w30,Anuradhapura,330,ASH PLANTAINS,75.0,2.86,30.24
2013-w31,2013,w31,Anuradhapura,330,ASH PLANTAINS,72.0,22.22,29.92
2013-w32,2013,w32,Anuradhapura,330,ASH PLANTAINS,72.0,42.4,29.9
2013-w33,2013,w33,Anuradhapura,330,ASH PLANTAINS,72.0,1.5,29.41
2013-w34,2013,w34,Anuradhapura,330,ASH PLANTAINS,72.0,15.62,31.57
2013-w35,2013,w35,Anuradhapura,330,ASH PLANTAINS,72.0,13.72,30.81
2013-w36,2013,w36,Anuradhapura,330,ASH PLANTAINS,88.0,30.88,28.79
2013-w37,2013,w37,Anuradhapura,330,ASH PLANTAINS,88.0,8.98,28.75
2013-w38,2013,w38,Anuradhapura,330,ASH PLANTAINS,88.0,1.76,30.56
2013-w39,2013,w39,Anuradhapura,330,ASH PLANTAINS,88.0,1.02,30.49
2013-w40,2013,w40,Anuradhapura,330,ASH PLANTAINS,112.0,2.64,30.17
2013-w41,2013,w41,Anuradhapura,330,ASH PLANTAINS,88.0,54.96,31.17
2013-w42,2013,w42,Anuradhapura,330,ASH PLANTAINS,88.0,60.48,29.32
2013-w43,2013,w43,Anuradhapura,330,ASH PLANTAINS,88.0,12.1,30.81
2013-w44,2013,w44,Anuradhapura,330,ASH PLANTAINS,88.0,18.34,29.93
2013-w45,2013,w45,Anuradhapura,330,ASH PLANTAINS,88.0,12.78,29.48
2013-w46,2013,w46,Anuradhapura,330,ASH PLANTAINS,88.0,37.76,29.16
2013-w47,2013,w47,Anuradhapura,330,ASH PLANTAINS,88.0,21.76,29.76
2013-w48,2013,w48,Anuradhapura,330,ASH PLANTAINS,88.0,85.88,27.97
2013-w49,2013,w49,Anuradhapura,330,ASH PLANTAINS,88.0,5.02,28.61
2013-w50,2013,w50,Anuradhapura,330,ASH PLANTAINS,72.0,17.66,27.34
2013-w51,2013,w51,Anuradhapura,330,ASH PLANTAINS,72.0,2.58,26.9
2013-w52,2013,w52,Anuradhapura,330,ASH PLANTAINS,88.0,0.72,25.78
2013-w1,2013,w1,Anuradhapura,305,BEETROOT,168.0,179.23,27.14
2013-w2,2013,w2,Anuradhapura,305,BEETROOT,168.0,3.7,24.68
2013-w3,2013,w3,Anuradhapura,305,BEETROOT,206.0,52.23,25.77
2013-w4,2013,w4,Anuradhapura,305,BEETROOT,163.75,16.37,25.09
2013-w5,2013,w5,Anuradhapura,305,BEETROOT,163.75,14.23,27.34
2013-w6,2013,w6,Anuradhapura,305,BEETROOT,163.75,80.6,27.22
2013-w7,2013,w7,Anuradhapura,305,BEETROOT,115.0,27.83,28.46
2013-w8,2013,w8,Anuradhapura,305,BEETROOT,130.0,0.27,26.22
2013-w9,2013,w9,Anuradhapura,305,BEETROOT,172.0,43.07,27.78
2013-w10,2013,w10,Anuradhapura,305,BEETROOT,168.0,32.0,29.95
2013-w11,2013,w11,Anuradhapura,305,BEETROOT,140.0,25.13,29.39
2013-w12,2013,w12,Anuradhapura,305,BEETROOT,184.0,50.47,30.04
2013-w13,2013,w13,Anuradhapura,305,BEETROOT,110.0,5.67,31.39
2013-w14,2013,w14,Anuradhapura,305,BEETROOT,96.0,7.13,31.53
2013-w15,2013,w15,Anuradhapura,305,BEETROOT,96.0,42.53,31.14
2013-w16,2013,w16,Anuradhapura,305,BEETROOT,96.0,30.03,31.62
2013-w17,2013,w17,Anuradhapura,305,BEETROOT,150.0,46.23,31.01
2013-w18,2013,w18,Anuradhapura,305,BEETROOT,150.0,36.5,30.24
2013-w19,2013,w19,Anuradhapura,305,BEETROOT,150.0,8.53,29.63
2013-w20,2013,w20,Anuradhapura,305,BEETROOT,150.0,15.8,29.85
2013-w21,2013,w21,Anuradhapura,305,BEETROOT,190.0,7.13,28.35
2013-w22,2013,w22,Anuradhapura,305,BEETROOT,168.0,26.27,27.24
2013-w23,2013,w23,Anuradhapura,305,BEETROOT,168.0,41.93,26.61
2013-w24,2013,w24,Anuradhapura,305,BEETROOT,168.0,31.9,26.66
2013-w25,2013,w25,Anuradhapura,305,BEETROOT,168.0,30.87,26.71
2013-w26,2013,w26,Anuradhapura,305,BEETROOT,168.0,16.83,26.88
2013-w27,2013,w27,Anuradhapura,305,BEETROOT,168.0,39.13,26.91
2013-w28,2013,w28,Anuradhapura,305,BEETROOT,168.0,10.5,26.81
2013-w29,2013,w29,Anuradhapura,305,BEETROOT,128.0,15.27,26.58
2013-w30,2013,w30,Anuradhapura,305,BEETROOT,112.0,7.23,27.64
2013-w31,2013,w31,Anuradhapura,305,BEETROOT,88.0,51.6,26.62
