Year_Week,year,week,retail_market,code,vegetable_type,no_of_holidays,vegetable_zone,seasonality,lanka_auto_diesel_price,mean_apparent_temperature,rain_sum,usd_exchange_rate,mean_farmer_price,retail_price
2013-w1,2013,w1,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,115.0,28.57,120.14,127.07,,92.0
2013-w2,2013,w2,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,115.0,26.07,0.0,126.35,,92.0
2013-w3,2013,w3,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,115.0,26.93,7.62,126.74,,92.0
2013-w4,2013,w4,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Maha Season,115.0,26.71,2.02,126.88,,92.0
2013-w5,2013,w5,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,115.0,28.39,6.98,126.31,,71.0
2013-w6,2013,w6,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,115.0,28.64,60.1,126.36,,71.0
2013-w7,2013,w7,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,115.0,29.83,20.4,126.9,,71.0
2013-w8,2013,w8,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,120.14,27.87,0.0,127.43,,71.0
2013-w9,2013,w9,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,121.0,29.12,19.74,127.38,,71.0
2013-w10,2013,w10,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,121.0,31.31,16.86,126.5,,88.0
2013-w11,2013,w11,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,121.0,30.62,16.48,126.47,,88.0
2013-w12,2013,w12,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,121.0,31.94,16.68,126.83,,88.0
2013-w13,2013,w13,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Maha Season,121.0,33.56,2.68,126.5,,88.0
2013-w35,2013,w35,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,121.0,30.81,13.72,132.99,,72.0
2013-w36,2013,w36,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Maha Season,121.0,28.79,30.88,132.75,,88.0
