Year_Week,year,week,retail_market,code,vegetable_type,no_of_holidays,vegetable_zone,seasonality,lanka_auto_diesel_price,mean_apparent_temperature,rain_sum,usd_exchange_rate,mean_farmer_price,retail_price
2013-w14,2013,w14,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,33.79,5.62,125.59,,88.0
2013-w15,2013,w15,Anuradhapura,330,ASH PLANTAINS,3,LOW Country,Yala Season,121.0,33.31,15.92,125.45,,88.0
2013-w16,2013,w16,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,33.86,18.64,126.36,,88.0
2013-w17,2013,w17,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,33.46,26.94,126.88,,88.0
2013-w18,2013,w18,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,32.28,22.46,126.27,,88.0
2013-w19,2013,w19,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.98,5.4,126.18,,88.0
2013-w20,2013,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.8,6.86,126.27,,88.0
2013-w21,2013,w21,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,121.0,30.8,2.62,126.39,,88.0
2013-w22,2013,w22,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.81,13.56,126.5,,72.0
2013-w23,2013,w23,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.65,8.08,126.95,,72.0
2013-w24,2013,w24,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.6,9.46,128.45,,72.0
2013-w25,2013,w25,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,29.41,14.76,129.17,,72.0
2013-w26,2013,w26,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.54,2.98,130.63,,72.0
2013-w27,2013,w27,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,30.11,35.82,130.79,,88.0
2013-w28,2013,w28,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.73,4.02,131.13,,88.0
2013-w29,2013,w29,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,29.02,4.56,131.68,,88.0
2013-w30,2013,w30,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,30.24,2.86,131.63,,75.0
2013-w31,2013,w31,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.92,22.22,131.65,,72.0
2013-w32,2013,w32,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,29.9,42.4,131.64,,72.0
2013-w33,2013,w33,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,29.41,1.5,131.84,,72.0
2013-w34,2013,w34,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.57,15.62,132.73,,72.0
2014-w14,2014,w14,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,33.18,33.2,130.61,,70.0
2014-w15,2014,w15,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,121.0,33.17,10.16,130.61,,76.0
2014-w16,2014,w16,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,33.58,33.56,130.66,,76.0
2014-w17,2014,w17,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,33.32,54.58,130.62,,90.0
2014-w18,2014,w18,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.58,97.72,130.62,,90.0
2014-w19,2014,w19,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,121.0,31.9,10.38,130.37,,90.0
2014-w20,2014,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.97,1.36,130.36,,90.0
2014-w21,2014,w21,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,32.06,5.12,130.39,,82.0
2014-w22,2014,w22,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.59,9.9,130.38,,82.0
2014-w23,2014,w23,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,31.52,2.08,130.27,,82.0
2014-w24,2014,w24,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.75,1.94,130.26,,82.0
2014-w25,2014,w25,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.42,2.62,130.3,35.88,82.0
2014-w26,2014,w26,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.26,2.82,130.31,36.04,82.0
2014-w27,2014,w27,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,31.22,8.62,130.26,36.19,82.0
2014-w28,2014,w28,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,30.04,2.76,130.2,36.35,82.0
2014-w29,2014,w29,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,30.74,2.26,130.28,36.5,80.0
2014-w30,2014,w30,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,30.9,3.02,130.23,36.5,80.0
2014-w31,2014,w31,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,30.84,4.94,130.22,32.5,70.0
2014-w32,2014,w32,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,121.0,30.46,12.88,130.21,34.5,70.0
2014-w33,2014,w33,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,30.87,41.9,130.18,36.5,70.0
2014-w34,2014,w34,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,121.0,29.49,20.12,130.21,38.5,70.0
2015-w14,2015,w14,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,33.29,17.76,132.55,32.5,92.0
2015-w15,2015,w15,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,32.31,30.48,133.05,30.0,92.0
2015-w16,2015,w16,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.37,37.94,133.1,27.5,92.0
2015-w17,2015,w17,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.83,24.94,133.02,31.0,92.0
2015-w18,2015,w18,Anuradhapura,330,ASH PLANTAINS,3,LOW Country,Yala Season,95.0,32.7,42.48,133.15,34.5,92.0
2015-w19,2015,w19,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.57,132.4,133.46,38.0,92.0
2015-w20,2015,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.88,8.3,133.5,34.0,92.0
2015-w21,2015,w21,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.53,2.14,134.01,32.5,92.0
2015-w22,2015,w22,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,31.48,14.46,133.89,32.5,72.0
2015-w23,2015,w23,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.5,9.7,133.98,42.5,88.0
2015-w24,2015,w24,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.96,6.92,133.99,52.5,88.0
2015-w25,2015,w25,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.09,2.3,133.91,42.5,76.0
2015-w26,2015,w26,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.59,8.7,133.88,40.5,91.0
2015-w27,2015,w27,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.05,2.38,133.76,38.5,106.0
2015-w28,2015,w28,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.27,5.54,133.71,36.5,102.5
2015-w29,2015,w29,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.07,10.02,133.87,34.5,99.0
2015-w30,2015,w30,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.64,6.26,133.73,32.5,95.5
2015-w31,2015,w31,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.3,4.52,133.7,30.71,92.0
2015-w32,2015,w32,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.14,2.42,133.78,28.93,92.0
2015-w33,2015,w33,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.14,53.08,134.23,27.14,62.0
2015-w34,2015,w34,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.73,3.38,134.07,25.36,72.0
2016-w14,2016,w14,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,34.04,12.82,145.1,39.0,108.0
2016-w15,2016,w15,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,35.02,1.86,145.62,46.0,108.0
2016-w16,2016,w16,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,35.35,9.58,146.22,29.2,92.0
2016-w17,2016,w17,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,35.43,5.0,145.98,12.4,72.0
2016-w18,2016,w18,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,35.12,14.5,146.0,20.0,88.0
2016-w19,2016,w19,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,33.55,44.08,146.24,35.0,55.0
2016-w20,2016,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.97,204.82,146.86,33.34,88.0
2016-w21,2016,w21,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,31.68,2.7,147.7,31.67,124.0
2016-w22,2016,w22,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.12,3.56,146.55,51.0,72.0
2016-w23,2016,w23,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.66,6.46,145.25,45.0,108.0
2016-w24,2016,w24,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.67,3.96,145.7,45.0,92.0
2016-w25,2016,w25,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.77,11.5,146.91,46.67,92.0
2016-w26,2016,w26,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.71,2.6,146.05,53.33,108.0
2016-w27,2016,w27,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,31.84,2.1,145.61,50.0,108.0
2016-w28,2016,w28,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.81,4.16,145.94,50.0,120.0
2016-w29,2016,w29,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.97,16.12,145.73,38.33,112.0
2016-w30,2016,w30,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.2,15.22,145.83,40.0,112.0
2016-w31,2016,w31,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,29.81,3.1,145.52,46.67,108.0
2016-w32,2016,w32,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.85,6.06,145.29,46.67,120.0
2016-w33,2016,w33,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,30.59,4.08,145.33,50.0,112.0
2016-w34,2016,w34,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.35,15.98,145.44,38.33,92.0
2017-w14,2017,w14,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,33.66,15.9,151.82,53.33,112.0
2017-w15,2017,w15,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,33.54,1.98,151.99,49.16,100.0
2017-w16,2017,w16,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,33.38,3.66,151.97,45.0,88.0
2017-w17,2017,w17,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,34.12,7.06,152.27,45.0,112.0
2017-w18,2017,w18,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,33.48,42.0,152.41,40.0,104.0
2017-w19,2017,w19,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.71,19.18,152.54,51.67,100.0
2017-w20,2017,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.16,7.8,152.59,48.33,100.0
2017-w21,2017,w21,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.05,5.92,152.68,53.33,104.0
2017-w22,2017,w22,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,31.25,6.6,152.33,53.33,104.0
2017-w23,2017,w23,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.26,4.58,152.64,55.0,106.0
2017-w24,2017,w24,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.29,10.26,152.97,48.33,98.0
2017-w25,2017,w25,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,29.96,14.42,153.26,51.67,108.0
2017-w26,2017,w26,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.33,9.06,153.54,51.67,108.0
2017-w27,2017,w27,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,31.26,11.92,153.61,45.0,100.0
2017-w28,2017,w28,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.7,3.14,153.65,48.33,96.0
2017-w29,2017,w29,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.63,6.28,153.59,50.0,104.0
2017-w30,2017,w30,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.33,28.52,153.55,56.67,104.0
2017-w31,2017,w31,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,95.0,31.3,33.1,153.35,55.0,104.0
2017-w32,2017,w32,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.98,19.14,153.12,55.0,104.0
2017-w33,2017,w33,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.27,23.0,153.1,58.33,96.0
2017-w34,2017,w34,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,30.9,15.58,152.86,57.5,116.0
2018-w14,2018,w14,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,31.67,40.22,155.47,33.33,104.0
2018-w15,2018,w15,Anuradhapura,330,ASH PLANTAINS,2,LOW Country,Yala Season,95.0,32.79,23.14,155.9,50.0,100.0
2018-w16,2018,w16,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,33.58,9.66,156.81,50.0,100.0
2018-w17,2018,w17,Anuradhapura,330,ASH PLANTAINS,3,LOW Country,Yala Season,95.0,33.78,20.74,157.59,25.0,96.0
2018-w18,2018,w18,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,95.0,32.17,55.96,157.61,30.0,92.0
2018-w19,2018,w19,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,109.0,31.84,40.68,157.87,33.33,92.0
2018-w20,2018,w20,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,109.0,30.05,45.68,157.73,28.75,92.0
2018-w21,2018,w21,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,109.0,30.46,27.58,157.94,31.67,92.0
2018-w22,2018,w22,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,109.0,30.28,19.04,158.53,35.0,100.0
2018-w23,2018,w23,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,109.0,29.97,5.44,159.12,41.67,100.0
2018-w24,2018,w24,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,109.0,29.95,7.1,159.59,48.75,100.0
2018-w25,2018,w25,Anuradhapura,330,ASH PLANTAINS,1,LOW Country,Yala Season,109.0,30.26,3.3,158.6,41.25,100.0
2018-w26,2018,w26,Anuradhapura,330,ASH PLANTAINS,0,LOW Country,Yala Season,109.0,31.16,10.76,158.39,58.75,100.0
