date,usd_lkr
2013-01-01,127.640174
2013-01-02,127.431517
2013-01-03,127.457218
2013-01-04,127.408818
2013-01-05,127.401118
2013-01-06,127.399318
2013-01-07,127.401218
2013-01-08,127.224609
2013-01-09,126.490904
2013-01-10,126.178581
2013-01-11,126.168238
2013-01-12,126.176838
2013-01-13,126.182481
2013-01-14,126.251337
2013-01-15,126.442743
2013-01-16,126.546142
2013-01-17,126.696589
2013-01-18,126.583549
2013-01-19,126.564049
2013-01-20,126.602049
2013-01-21,126.66579
2013-01-22,126.69418
2013-01-23,126.990533
2013-01-24,127.087632
2013-01-25,127.135817
2013-01-26,127.144817
2013-01-27,127.142517
2013-01-28,127.140361
2013-01-29,126.71348
2013-01-30,126.523844
2013-01-31,126.379377
2013-02-01,126.324104
2013-02-02,126.273626
2013-02-03,126.272751
2013-02-04,126.300001
2013-02-05,126.429944
2013-02-06,126.401001
2013-02-07,126.160981
2013-02-08,126.271004
2013-02-09,126.288904
2013-02-10,126.286904
2013-02-11,126.364904
2013-02-12,126.27831
2013-02-13,126.423625
2013-02-14,126.573643
2013-02-15,126.64056
2013-02-16,126.66026
2013-02-17,126.714249
2013-02-18,126.729061
2013-02-19,127.116761
2013-02-20,127.301375
2013-02-21,127.15732
2013-02-22,127.352318
2013-02-23,127.381153
2013-02-24,127.396753
2013-02-25,127.411753
2013-02-26,127.478446
2013-02-27,127.490346
2013-02-28,127.531005
2013-03-01,127.4432
2013-03-02,127.435447
2013-03-03,127.43925
2013-03-04,127.3525
2013-03-05,127.459953
2013-03-06,127.28823
2013-03-07,127.274
2013-03-08,126.860131
2013-03-09,126.622949
2013-03-10,126.589049
2013-03-11,126.527048
2013-03-12,126.217144
2013-03-13,126.401499
2013-03-14,126.26925
2013-03-15,126.187526
2013-03-16,126.159251
2013-03-17,126.482426
2013-03-18,126.268526
2013-03-19,126.577376
2013-03-20,126.667374
2013-03-21,126.940277
2013-03-22,126.86525
2013-03-23,126.875125
2013-03-24,126.876951
2013-03-25,126.772375
2013-03-26,126.745875
2013-03-27,126.874801
2013-03-28,126.787652
2013-03-29,126.757642
2013-03-30,126.746542
2013-03-31,126.762542
2013-04-01,126.530526
2013-04-02,126.532499
2013-04-03,126.274463
2013-04-04,125.924376
2013-04-05,125.831101
2013-04-06,125.758016
2013-04-07,125.607316
2013-04-08,125.5975
2013-04-09,125.533402
2013-04-10,125.413051
2013-04-11,125.392625
2013-04-12,125.390001
2013-04-13,125.399715
2013-04-14,125.399515
2013-04-15,125.399515
2013-04-16,125.394751
2013-04-17,125.513756
2013-04-18,125.656684
2013-04-19,125.88775
2013-04-20,125.945789
2013-04-21,125.931089
2013-04-22,126.4425
2013-04-23,126.794851
2013-04-24,126.744869
2013-04-25,126.73913
2013-04-26,126.974216
2013-04-27,127.123189
2013-04-28,127.043125
2013-04-29,126.833375
2013-04-30,126.859689
2013-05-01,126.7505
2013-05-02,126.58789
2013-05-03,126.500489
2013-05-04,126.244037
2013-05-05,126.239037
2013-05-06,126.378954
2013-05-07,126.415254
2013-05-08,126.160081
2013-05-09,125.980789
2013-05-10,126.127061
2013-05-11,126.165777
2013-05-12,126.217477
2013-05-13,126.343337
2013-05-14,126.43855
2013-05-15,126.138664
2013-05-16,125.795701
2013-05-17,126.202604
2013-05-18,126.088282
2013-05-19,126.185482
2013-05-20,126.306437
2013-05-21,126.376578
2013-05-22,126.376904
2013-05-23,126.352577
2013-05-24,126.354477
2013-05-25,126.353577
2013-05-26,126.334977
2013-05-27,126.349477
2013-05-28,126.404343
2013-05-29,126.470454
2013-05-30,126.482243
2013-05-31,126.522243
2013-06-01,126.528244
2013-06-02,126.506844
2013-06-03,126.486343
2013-06-04,126.486143
2013-06-05,126.498543
2013-06-06,126.449545
2013-06-07,126.37565
2013-06-08,126.343177
2013-06-09,126.458177
2013-06-10,126.732885
2013-06-11,127.526922
2013-06-12,127.3846
2013-06-13,127.796718
2013-06-14,128.393765
2013-06-15,128.514846
2013-06-16,128.505146
2013-06-17,128.578452
2013-06-18,128.558546
2013-06-19,128.243932
2013-06-20,128.337027
2013-06-21,128.759241
2013-06-22,128.843076
2013-06-23,128.872376
2013-06-24,128.962016
2013-06-25,128.961154
2013-06-26,129.446993
2013-06-27,130.336462
2013-06-28,130.481724
2013-06-29,130.566589
2013-06-30,130.659989
2013-07-01,130.743127
2013-07-02,130.681627
2013-07-03,130.631202
2013-07-04,130.618291
2013-07-05,130.635968
2013-07-06,130.658227
2013-07-07,130.744527
2013-07-08,130.99889
2013-07-09,130.838803
2013-07-10,130.80169
2013-07-11,130.825891
2013-07-12,130.853339
2013-07-13,130.853461
2013-07-14,130.842961
2013-07-15,130.948584
2013-07-16,131.321972
2013-07-17,131.49111
2013-07-18,131.599808
2013-07-19,131.630108
2013-07-20,131.693249
2013-07-21,131.701849
2013-07-22,131.699849
2013-07-23,131.700349
2013-07-24,131.662949
2013-07-25,131.653549
2013-07-26,131.631466
2013-07-27,131.642917
2013-07-28,131.601017
2013-07-29,131.601554
2013-07-30,131.638346
2013-07-31,131.668548
2013-08-01,131.659146
2013-08-02,131.659427
2013-08-03,131.651788
2013-08-04,131.651538
2013-08-05,131.639376
2013-08-06,131.62029
2013-08-07,131.662356
2013-08-08,131.67271
2013-08-09,131.700041
2013-08-10,131.702958
2013-08-11,131.708375
2013-08-12,131.698039
2013-08-13,131.653872
2013-08-14,131.562722
2013-08-15,131.446906
2013-08-16,131.721734
2013-08-17,131.732051
2013-08-18,131.764551
2013-08-19,131.880385
2013-08-20,131.919854
2013-08-21,131.91842
2013-08-22,131.927303
2013-08-23,132.37714
2013-08-24,132.429165
2013-08-25,132.404498
2013-08-26,132.63501
2013-08-27,132.893236
2013-08-28,133.131306
2013-08-29,133.21075
2013-08-30,132.963349
2013-08-31,132.90917
2013-09-01,132.904504
2013-09-02,133.031583
2013-09-03,133.061583
2013-09-04,133.011166
2013-09-05,133.048833
2013-09-06,132.940728
2013-09-07,132.934839
2013-09-08,132.822172
2013-09-09,132.822351
2013-09-10,132.880756
2013-09-11,132.465915
2013-09-12,132.359107
2013-09-13,132.269773
2013-09-14,132.25819
2013-09-15,132.119606
2013-09-16,132.233456
2013-09-17,132.220022
2013-09-18,132.293522
2013-09-19,132.292522
2013-09-20,132.203294
2013-09-21,132.19628
2013-09-22,132.19153
2013-09-23,132.114234
2013-09-24,132.165795
2013-09-25,132.058047
2013-09-26,132.021344
2013-09-27,132.02176
2013-09-28,132.02276
2013-09-29,132.04301
2013-09-30,131.993344
2013-10-01,131.655762
2013-10-02,131.59301
2013-10-03,131.547427
2013-10-04,131.288674
2013-10-05,131.303004
2013-10-06,131.277504
2013-10-07,131.176256
2013-10-08,131.190423
2013-10-09,131.14336
2013-10-10,131.154673
2013-10-11,131.074404
2013-10-12,131.075683
2013-10-13,131.056099
2013-10-14,130.92953
2013-10-15,131.113486
2013-10-16,131.140256
2013-10-17,131.029737
2013-10-18,131.003238
2013-10-19,130.994738
2013-10-20,130.997154
2013-10-21,130.923577
2013-10-22,130.864137
2013-10-23,130.781677
2013-10-24,130.578533
2013-10-25,130.62405
2013-10-26,130.634356
2013-10-27,130.624272
2013-10-28,130.910365
2013-10-29,130.956161
2013-10-30,131.024495
2013-10-31,130.924244
2013-11-01,130.989197
2013-11-02,130.983049
2013-11-03,130.996947
2013-11-04,131.129589
2013-11-05,131.146499
2013-11-06,131.1322
2013-11-07,131.111201
2013-11-08,131.1159
2013-11-09,131.1223
2013-11-10,131.139
2013-11-11,131.109001
2013-11-12,131.101901
2013-11-13,131.095101
2013-11-14,131.134699
2013-11-15,131.147299
2013-11-16,131.149799
2013-11-17,131.151999
2013-11-18,131.145999
2013-11-19,131.113301
2013-11-20,131.099101
2013-11-21,131.099801
2013-11-22,131.139699
2013-11-23,131.146899
2013-11-24,131.160199
2013-11-25,131.157999
2013-11-26,131.196799
2013-11-27,131.263599
2013-11-28,131.208499
