Retail Market,Vegetable,Primary Producer Market Target,Secondary Producer Market Target (Fallback)
Colombo,CARROT,Nuwaraeliya,Badulla
Colombo,LEEKS,Nuwaraeliya,Badulla
Colombo,CABBAGE,Nuwaraeliya,Badulla
Colombo,BEETROOT,Nuwaraeliya,Badulla
Colombo,GREEN BEANS,Nuwaraeliya,Badulla
Colombo,PUMPKIN,Dambulla,Anuradhapura
Colombo,BRINJALS,Dambulla,Embilipitiya
Colombo,LADIES FINGERS,Dambulla,Thambuththegama
Colombo,SNAKE GOURD,Dambulla,Anuradhapura
Colombo,ASH PLANTAINS,Dambulla,Embilipitiya
Colombo,TOMATOES,Dambulla,Thambuththegama
Colombo,GREEN CHILLIES,Dambulla,Puttalam
Meegoda,CARROT,Nuwaraeliya,Badulla
Meegoda,LEEKS,Nuwaraeliya,Badulla
Meegoda,CABBAGE,Nuwaraeliya,Badulla
Meegoda,BEETROOT,Nuwaraeliya,Badulla
Meegoda,GREEN BEANS,Nuwaraeliya,Badulla
Meegoda,PUMPKIN,Dambulla,Anuradhapura
Meegoda,BRINJALS,Dambulla,Embilipitiya
Meegoda,LADIES FINGERS,Dambulla,Thambuththegama
Meegoda,SNAKE GOURD,Dambulla,Anuradhapura
Meegoda,ASH PLANTAINS,Dambulla,Embilipitiya
Meegoda,TOMATOES,Dambulla,Thambuththegama
Meegoda,GREEN CHILLIES,Dambulla,Puttalam
Kaluthara,CARROT,Nuwaraeliya,Badulla
Kaluthara,LEEKS,Nuwaraeliya,Badulla
Kaluthara,CABBAGE,Nuwaraeliya,Badulla
Kaluthara,BEETROOT,Nuwaraeliya,Badulla
Kaluthara,GREEN BEANS,Nuwaraeliya,Badulla
Kaluthara,PUMPKIN,Dambulla,Embilipitiya
Kaluthara,BRINJALS,Embilipitiya,Dambulla
Kaluthara,LADIES FINGERS,Dambulla,Embilipitiya
Kaluthara,SNAKE GOURD,Dambulla,Embilipitiya
Kaluthara,ASH PLANTAINS,Embilipitiya,Dambulla
Kaluthara,TOMATOES,Dambulla,Embilipitiya
Kaluthara,GREEN CHILLIES,Dambulla,Embilipitiya
Mathara,CARROT,Badulla,Nuwaraeliya
Mathara,LEEKS,Badulla,Nuwaraeliya
Mathara,CABBAGE,Badulla,Nuwaraeliya
Mathara,BEETROOT,Badulla,Nuwaraeliya
Mathara,GREEN BEANS,Badulla,Nuwaraeliya
Mathara,PUMPKIN,Hambanthota,Embilipitiya
Mathara,BRINJALS,Embilipitiya,Hambanthota
Mathara,LADIES FINGERS,Embilipitiya,Hambanthota
Mathara,SNAKE GOURD,Embilipitiya,Hambanthota
Mathara,ASH PLANTAINS,Embilipitiya,Hambanthota
Mathara,TOMATOES,Embilipitiya,Dambulla
Mathara,GREEN CHILLIES,Embilipitiya,Hambanthota
Kandy,CARROT,Nuwaraeliya,Badulla
