Year,Location,Vegetable_Type,Missing_Cells
2008,Ampara,ASH PLANTAINS,21
2008,Ampara,BEETROOT,21
2008,Ampara,BITTER GOURD,21
2008,Ampara,BRINJALS,21
2008,Ampara,CABBAGE,22
2008,Ampara,CAPSICUM,21
2008,Ampara,CARROT,21
2008,Ampara,CUCUMBER,21
2008,Ampara,DRUMSTIC,37
2008,Ampara,GOTUKOLA,24
2008,Ampara,GREEN BEANS,23
2008,Ampara,GREEN CHILLIES,21
2008,Ampara,KANKUN,22
2008,Ampara,KNOL-KHOL,21
2008,Ampara,LADIES FINGERS,21
2008,Ampara,LEEKS,21
2008,Ampara,LIME,21
2008,Ampara,LONG BEANS,22
2008,Ampara,LUFFA,22
2008,Ampara,MANIOC,21
2008,Ampara,MUKUNUWENNA,22
2008,Ampara,PUMPKIN,21
2008,Ampara,RADDISH,23
2008,Ampara,SNAKE GOURD,21
2008,Ampara,SWEET POTATOES,21
2008,Ampara,TOMATOES,21
2008,Anuradhapura,ASH PLANTAINS,16
2008,Anuradhapura,BEETROOT,18
2008,Anuradhapura,BITTER GOURD,16
2008,Anuradhapura,BRINJALS,17
2008,Anuradhapura,CABBAGE,17
2008,Anuradhapura,CAPSICUM,18
2008,Anuradhapura,CARROT,17
2008,Anuradhapura,CUCUMBER,18
2008,Anuradhapura,DRUMSTIC,32
2008,Anuradhapura,GOTUKOLA,20
2008,Anuradhapura,GREEN BEANS,17
2008,Anuradhapura,GREEN CHILLIES,16
2008,Anuradhapura,KANKUN,19
2008,Anuradhapura,KNOL-KHOL,22
2008,Anuradhapura,LADIES FINGERS,19
2008,Anuradhapura,LEEKS,17
2008,Anuradhapura,LIME,16
2008,Anuradhapura,LONG BEANS,16
2008,Anuradhapura,LUFFA,16
2008,Anuradhapura,MANIOC,16
2008,Anuradhapura,MUKUNUWENNA,20
2008,Anuradhapura,PUMPKIN,17
2008,Anuradhapura,RADDISH,17
2008,Anuradhapura,SNAKE GOURD,17
2008,Anuradhapura,SWEET POTATOES,16
2008,Anuradhapura,TOMATOES,17
2008,Badulla,ASH PLANTAINS,11
2008,Badulla,BEETROOT,11
2008,Badulla,BITTER GOURD,12
2008,Badulla,BRINJALS,12
2008,Badulla,CABBAGE,11
2008,Badulla,CAPSICUM,11
2008,Badulla,CARROT,11
2008,Badulla,CUCUMBER,11
2008,Badulla,DRUMSTIC,34
2008,Badulla,GOTUKOLA,13
2008,Badulla,GREEN BEANS,11
2008,Badulla,GREEN CHILLIES,11
2008,Badulla,KANKUN,11
2008,Badulla,KNOL-KHOL,14
2008,Badulla,LADIES FINGERS,12
2008,Badulla,LEEKS,11
2008,Badulla,LIME,13
2008,Badulla,LONG BEANS,16
2008,Badulla,LUFFA,13
2008,Badulla,MANIOC,15
2008,Badulla,MUKUNUWENNA,11
2008,Badulla,PUMPKIN,11
2008,Badulla,RADDISH,11
2008,Badulla,SNAKE GOURD,11
2008,Badulla,SWEET POTATOES,11
2008,Badulla,TOMATOES,11
2008,Colombo,ASH PLANTAINS,0
2008,Colombo,BEETROOT,0
2008,Colombo,BITTER GOURD,0
2008,Colombo,BRINJALS,0
2008,Colombo,CABBAGE,0
2008,Colombo,CAPSICUM,0
2008,Colombo,CARROT,0
2008,Colombo,CUCUMBER,0
2008,Colombo,DRUMSTIC,24
2008,Colombo,GOTUKOLA,50
2008,Colombo,GREEN BEANS,0
2008,Colombo,GREEN CHILLIES,0
2008,Colombo,KANKUN,0
2008,Colombo,KNOL-KHOL,0
2008,Colombo,LADIES FINGERS,0
2008,Colombo,LEEKS,0
2008,Colombo,LIME,0
2008,Colombo,LONG BEANS,0
2008,Colombo,LUFFA,0
2008,Colombo,MANIOC,0
2008,Colombo,MUKUNUWENNA,0
2008,Colombo,PUMPKIN,0
2008,Colombo,RADDISH,0
2008,Colombo,SNAKE GOURD,0
2008,Colombo,SWEET POTATOES,0
2008,Colombo,TOMATOES,0
2008,Dambulla,ASH PLANTAINS,8
2008,Dambulla,BEETROOT,8
2008,Dambulla,BITTER GOURD,7
2008,Dambulla,BRINJALS,7
2008,Dambulla,CABBAGE,10
2008,Dambulla,CAPSICUM,7
2008,Dambulla,CARROT,7
2008,Dambulla,CUCUMBER,7
2008,Dambulla,DRUMSTIC,37
2008,Dambulla,GOTUKOLA,7
2008,Dambulla,GREEN BEANS,7
2008,Dambulla,GREEN CHILLIES,8
2008,Dambulla,KANKUN,7
2008,Dambulla,KNOL-KHOL,8
2008,Dambulla,LADIES FINGERS,7
2008,Dambulla,LEEKS,8
2008,Dambulla,LIME,7
2008,Dambulla,LONG BEANS,7
2008,Dambulla,LUFFA,7
2008,Dambulla,MANIOC,7
2008,Dambulla,MUKUNUWENNA,7
2008,Dambulla,PUMPKIN,7
2008,Dambulla,RADDISH,9
2008,Dambulla,SNAKE GOURD,7
2008,Dambulla,SWEET POTATOES,7
2008,Dambulla,TOMATOES,7
2008,Dehiattakandiya,ASH PLANTAINS,18
2008,Dehiattakandiya,BEETROOT,18
2008,Dehiattakandiya,BITTER GOURD,9
2008,Dehiattakandiya,BRINJALS,8
2008,Dehiattakandiya,CABBAGE,8
2008,Dehiattakandiya,CAPSICUM,11
2008,Dehiattakandiya,CARROT,8
2008,Dehiattakandiya,CUCUMBER,13
2008,Dehiattakandiya,DRUMSTIC,44
2008,Dehiattakandiya,GOTUKOLA,22
2008,Dehiattakandiya,GREEN BEANS,9
