Year,Location,Missing_Cells
2008,Ampara,574
2009,Ampara,1352
2010,Ampara,989
2011,Ampara,95
2012,Ampara,946
2013,Ampara,36
2014,Ampara,786
2015,Ampara,517
2016,Ampara,65
2017,Ampara,359
2018,Ampara,83
2019,Ampara,319
2020,Ampara,1133
2021,Ampara,256
2022,Ampara,272
2023,Ampara,111
2024,Ampara,195
2008,Anuradhapura,467
2009,Anuradhapura,207
2010,Anuradhapura,161
2011,Anuradhapura,174
2012,Anuradhapura,771
2013,Anuradhapura,19
2014,Anuradhapura,25
2015,Anuradhapura,137
2016,Anuradhapura,26
2017,Anuradhapura,102
2018,Anuradhapura,41
2019,Anuradhapura,74
2020,Anuradhapura,948
2021,Anuradhapura,559
2022,Anuradhapura,55
2023,Anuradhapura,50
2024,Anuradhapura,62
2008,Badulla,330
2009,Badulla,296
2010,Badulla,1044
2011,Badulla,160
2012,Badulla,826
2013,Badulla,306
2014,Badulla,20
2015,Badulla,540
2016,Badulla,105
2017,Badulla,112
2018,Badulla,44
2019,Badulla,297
2020,Badulla,462
2021,Badulla,191
2022,Badulla,37
2023,Badulla,36
2024,Badulla,169
2022,Bandarawela,193
2023,Bandarawela,313
2024,Bandarawela,376
2015,Batticaloa,914
2016,Batticaloa,223
2017,Batticaloa,258
2018,Batticaloa,1122
2019,Batticaloa,208
2020,Batticaloa,792
2021,Batticaloa,665
2022,Batticaloa,198
2023,Batticaloa,63
2024,Batticaloa,493
2008,Colombo,74
2009,Colombo,46
2010,Colombo,12
2011,Colombo,26
2012,Colombo,34
2013,Colombo,41
2014,Colombo,8
2015,Colombo,10
2016,Colombo,5
2017,Colombo,17
2018,Colombo,24
2019,Colombo,38
2020,Colombo,711
2021,Colombo,224
2022,Colombo,15
2023,Colombo,19
2024,Colombo,10
2008,Dambulla,222
2009,Dambulla,291
2010,Dambulla,169
2011,Dambulla,181
2012,Dambulla,231
2013,Dambulla,22
2014,Dambulla,45
2015,Dambulla,34
2016,Dambulla,17
2017,Dambulla,101
2018,Dambulla,35
2019,Dambulla,23
2020,Dambulla,276
2021,Dambulla,284
2022,Dambulla,26
2023,Dambulla,25
2024,Dambulla,23
2008,Dehiattakandiya,352
2009,Dehiattakandiya,369
2010,Dehiattakandiya,137
2011,Dehiattakandiya,115
2012,Dehiattakandiya,805
2013,Dehiattakandiya,230
2014,Dehiattakandiya,507
2015,Dehiattakandiya,180
2016,Dehiattakandiya,236
2017,Dehiattakandiya,860
2018,Dehiattakandiya,702
2019,Dehiattakandiya,55
2020,Dehiattakandiya,490
2021,Dehiattakandiya,483
2022,Dehiattakandiya,34
2023,Dehiattakandiya,54
2024,Dehiattakandiya,38
2008,Embilipitiya,166
2009,Embilipitiya,284
2010,Embilipitiya,97
2011,Embilipitiya,153
2012,Embilipitiya,252
2013,Embilipitiya,18
2014,Embilipitiya,24
2015,Embilipitiya,24
2016,Embilipitiya,9
2017,Embilipitiya,33
2018,Embilipitiya,17
2019,Embilipitiya,67
2020,Embilipitiya,304
2021,Embilipitiya,148
2022,Embilipitiya,48
2023,Embilipitiya,30
2024,Embilipitiya,36
2022,Galenbindunuwewa,435
2023,Galenbindunuwewa,140
2024,Galenbindunuwewa,684
2008,Galle,358
2009,Galle,288
2010,Galle,92
2011,Galle,179
2012,Galle,968
2013,Galle,832
2014,Galle,65
2015,Galle,18
2016,Galle,256
2017,Galle,102
2018,Galle,414
2019,Galle,133
2020,Galle,544
2021,Galle,316
2022,Galle,806
2023,Galle,86
2024,Galle,127
2008,Gampaha,1352
2009,Gampaha,1352
2010,Gampaha,1117
2011,Gampaha,85
2012,Gampaha,102
2013,Gampaha,73
2014,Gampaha,36
2015,Gampaha,28
2016,Gampaha,365
2017,Gampaha,367
2018,Gampaha,11
2019,Gampaha,453
2020,Gampaha,766
2021,Gampaha,408
2022,Gampaha,30
2023,Gampaha,21
2024,Gampaha,558
2008,Hambanthota,247
2009,Hambanthota,228
2010,Hambanthota,116
2011,Hambanthota,608
2012,Hambanthota,793
2013,Hambanthota,93
2014,Hambanthota,8
2015,Hambanthota,46
2016,Hambanthota,373
2017,Hambanthota,37
2018,Hambanthota,22
2019,Hambanthota,151
