Vegetable_Type,Missing_Cells,Available_Cells,Total_Data_Points
ASH PLANTAINS,6853,21851,28704
KNOL-KHOL,10536,18168,28704
SWEET POTATOES,7846,20858,28704
SNAKE GOURD,6807,21897,28704
RADDISH,7340,21364,28704
PUMPKIN,6703,22001,28704
MUKUNUWENNA,6945,21759,28704
MANIOC,7285,21419,28704
LUFFA,8605,20099,28704
LONG BEANS,6901,21803,28704
LIME,7010,21694,28704
LEEKS,6684,22020,28704
LADIES FINGERS,6720,21984,28704
KANKUN,7430,21274,28704
BEETROOT,6855,21849,28704
GREEN CHILLIES,6690,22014,28704
GREEN BEANS,6778,21926,28704
DRUMSTIC,16710,11994,28704
CUCUMBER,7834,20870,28704
CARROT,6651,22053,28704
CAPSICUM,6927,21777,28704
CABBAGE,6672,22032,28704
BRINJALS,6647,22057,28704
BITTER GOURD,6931,21773,28704
TOMATOES,6674,22030,28704
GOTUKOLA,7276,21376,28652
Items,0,52,52
