Year_Week,Brent_Price_USD,Start_Date,End_Date,trading_days_count
2000-W01,23.914,1/7/2000,1/13/2000,5
2000-W02,26.046,1/14/2000,1/20/2000,5
2000-W03,27.106,1/21/2000,1/27/2000,5
2000-W04,27.154,1/28/2000,2/3/2000,5
2000-W05,27.558,2/4/2000,2/10/2000,5
2000-W06,27.924,2/11/2000,2/17/2000,5
2000-W07,27.508,2/18/2000,2/24/2000,5
2000-W08,29.228,2/25/2000,3/2/2000,5
2000-W09,30.472,3/3/2000,3/9/2000,5
2000-W10,28.61,3/10/2000,3/16/2000,5
2000-W11,25.896,3/17/2000,3/23/2000,5
2000-W12,24.682,3/24/2000,3/30/2000,5
2000-W13,23.548,3/31/2000,4/6/2000,5
2000-W14,21.762,4/7/2000,4/13/2000,5
2000-W15,22.814,4/14/2000,4/20/2000,5
2000-W16,23.11,4/21/2000,4/27/2000,3
2000-W17,24.6775,4/28/2000,5/4/2000,4
2000-W18,26.292,5/5/2000,5/11/2000,5
2000-W19,28.464,5/12/2000,5/18/2000,5
2000-W20,28.834,5/19/2000,5/25/2000,5
2000-W21,29.8275,5/26/2000,6/1/2000,4
2000-W22,28.74,6/2/2000,6/8/2000,5
2000-W23,29.878,6/9/2000,6/15/2000,5
2000-W24,29.31,6/16/2000,6/22/2000,5
2000-W25,30.918,6/23/2000,6/29/2000,5
2000-W26,31.096,6/30/2000,7/6/2000,5
2000-W27,30.49,7/7/2000,7/13/2000,5
2000-W28,28.78,7/14/2000,7/20/2000,5
2000-W29,26.164,7/21/2000,7/27/2000,5
2000-W30,26.068,7/28/2000,8/3/2000,5
2000-W31,28.052,8/4/2000,8/10/2000,5
2000-W32,29.81,8/11/2000,8/17/2000,5
2000-W33,31.266,8/18/2000,8/24/2000,5
2000-W34,33.958,8/25/2000,8/31/2000,5
2000-W35,36.192,9/1/2000,9/7/2000,5
2000-W36,33.774,9/8/2000,9/14/2000,5
2000-W37,33.512,9/15/2000,9/21/2000,5
2000-W38,30.046,9/22/2000,9/28/2000,5
2000-W39,29.594,9/29/2000,10/5/2000,5
2000-W40,31.052,10/6/2000,10/12/2000,5
2000-W41,31.636,10/13/2000,10/19/2000,5
2000-W42,31.12,10/20/2000,10/26/2000,5
2000-W43,30.996,10/27/2000,11/2/2000,5
